site_name,location,date,time,count
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,00:00:00,487
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,01:00:00,217
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,02:00:00,142
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,03:00:00,295
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,04:00:00,574
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,05:00:00,1003
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,06:00:00,2424
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,07:00:00,2280
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,08:00:00,1905
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,09:00:00,2218
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,10:00:00,2074
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,11:00:00,2150
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,12:00:00,2148
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,13:00:00,2421
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,14:00:00,2424
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,15:00:00,2595
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,16:00:00,2736
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,17:00:00,2497
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,18:00:00,2464
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,19:00:00,2260
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,20:00:00,1659
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,21:00:00,1368
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,22:00:00,1164
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-08,23:00:00,670
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,00:00:00,425
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,01:00:00,212
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,02:00:00,191
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,03:00:00,282
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,04:00:00,595
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,05:00:00,1069
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,06:00:00,2383
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,07:00:00,2394
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,08:00:00,2147
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,09:00:00,2227
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,10:00:00,2214
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,11:00:00,2252
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,12:00:00,2217
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,13:00:00,2445
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,14:00:00,2375
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,15:00:00,2560
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,16:00:00,2796
TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",2020-01-09,17:00:00,2659
