date,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirdegree,winddir16point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibilityKm,visibilityMiles,pressureMB,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,blank
2020-01-28,24,6,42,22,35,279,W,362,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0013_sleet_showers.png,Light sleet showers,14.5,0.6,73,9,5,995,30,68,5,40,0,33,-0,31,34,54,-0,"31
"
2020-01-29,24,9,49,20,32,238,WSW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,1.2,0.0,81,10,6,1004,30,85,8,46,5,40,3,38,32,52,3,"38
"
2020-01-30,24,11,51,17,27,248,WSW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.6,0.0,88,9,5,998,30,92,9,48,7,44,5,41,27,43,5,"41
"
2020-01-31,24,11,51,27,43,225,SW,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,11.8,0.5,87,8,5,995,30,85,10,51,8,47,6,43,42,67,6,"43
"
2020-02-01,24,10,49,23,36,260,W,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,2.5,0.1,78,10,6,999,30,83,8,47,5,41,4,40,34,55,4,"40
"
2020-02-02,24,10,49,23,37,234,SW,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,4.0,0.2,82,8,4,999,30,82,8,47,5,42,4,39,36,58,4,"39
"
2020-02-03,24,7,45,21,34,276,W,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,2.0,0.1,69,10,6,1013,30,83,7,44,1,35,2,36,32,51,2,"36
"
2020-02-04,24,8,47,13,20,301,WNW,119,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,0.7,0.0,73,10,6,1029,31,47,6,44,2,36,3,38,21,33,3,"38
"
2020-02-05,24,8,47,8,12,177,S,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,85,10,6,1034,31,18,6,42,3,38,3,37,13,21,3,"37
"
2020-02-06,24,9,47,12,19,150,SSE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,0.0,85,10,6,1025,31,49,6,43,4,39,3,37,19,31,3,"37
"
2020-02-07,24,11,52,17,28,162,SSE,266,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,2.2,0.1,81,9,5,1005,30,87,7,45,4,40,3,38,28,45,3,"38
"
2020-02-08,24,8,47,24,38,209,SSW,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,33.2,1.3,82,8,4,999,30,89,7,44,4,39,2,36,37,59,2,"36
"
2020-02-09,24,11,53,30,48,260,W,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,14.7,0.6,84,9,5,981,29,94,9,48,6,43,4,40,44,70,4,"40
"
2020-02-10,24,6,43,32,52,275,W,362,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0013_sleet_showers.png,Light sleet showers,4.3,0.2,63,10,5,994,30,84,5,41,-1,30,-1,30,47,76,-1,"30
"
2020-02-11,24,5,41,29,46,281,WNW,371,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0012_heavy_snow_showers.png,Moderate or heavy snow showers,8.2,0.3,63,8,4,1006,30,66,4,40,-2,28,-2,28,44,70,-2,"28
"
2020-02-12,24,7,44,17,28,211,SSW,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,4.4,0.2,74,10,5,1007,30,89,5,41,1,34,1,33,27,43,1,"33
"
2020-02-13,24,8,46,11,17,322,NW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,8.7,0.3,86,9,5,994,30,60,6,42,3,38,3,37,16,25,3,"37
"
2020-02-14,24,10,49,20,31,233,SW,299,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0010_heavy_rain_showers.png,Moderate rain at times,3.6,0.1,79,9,5,1004,30,69,8,46,4,40,4,38,32,52,4,"38
"
2020-02-15,24,10,50,26,41,214,SW,308,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Heavy rain,18.6,0.7,82,8,4,986,30,95,8,47,5,42,4,38,40,64,4,"38
"
2020-02-16,24,7,45,37,59,242,WSW,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,6.3,0.2,65,10,6,982,29,67,6,43,0,32,0,33,53,85,0,"33
"
2020-02-17,24,7,44,26,41,272,W,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,5.5,0.2,74,9,5,1002,30,79,6,43,2,35,1,34,38,61,1,"34
"
2020-02-18,24,7,45,24,39,277,W,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,4.5,0.2,75,9,5,1014,30,79,6,43,2,35,1,34,36,58,1,"34
"
2020-02-19,24,10,49,24,38,216,SW,308,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Heavy rain,24.1,0.9,87,7,4,1009,30,99,8,46,6,43,3,38,37,60,3,"38
"
2020-02-20,24,6,42,21,34,277,W,362,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0013_sleet_showers.png,Light sleet showers,23.4,0.9,76,9,5,1007,30,89,6,42,2,35,1,34,31,50,1,"34
"
2020-02-21,24,10,50,34,55,228,SW,302,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Moderate rain,21.4,0.8,87,7,4,1008,30,100,9,48,7,45,4,39,53,85,4,"39
"
2020-02-22,24,7,44,27,43,262,W,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,3.1,0.1,78,9,5,1011,30,99,6,43,3,38,1,34,39,63,1,"34
"
2020-02-23,24,7,45,10,15,263,W,263,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy light drizzle,10.7,0.4,82,8,5,1015,30,86,6,43,3,37,3,38,14,22,3,"38
"
2020-02-24,24,10,51,23,37,283,WNW,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,32.1,1.3,82,9,5,1003,30,77,8,46,5,41,3,38,36,57,3,"38
"
2020-02-25,24,5,41,25,40,280,W,362,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0013_sleet_showers.png,Light sleet showers,8.7,0.3,78,6,3,1000,30,87,4,39,0,33,-2,29,36,57,-2,"29
"
2020-02-26,24,6,42,17,27,273,W,362,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0013_sleet_showers.png,Light sleet showers,1.9,0.1,69,10,6,1007,30,76,4,40,-1,31,-0,31,26,42,-0,"31
"
2020-02-27,24,7,44,9,15,275,W,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.5,0.0,72,10,5,1006,30,70,5,40,-0,32,1,35,14,23,1,"35
"
2020-02-28,24,10,50,17,27,215,SW,266,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,8.0,0.3,91,8,4,991,30,100,8,47,7,44,4,40,26,42,4,"40
"
2020-02-29,24,5,42,35,56,247,WSW,362,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0013_sleet_showers.png,Light sleet showers,13.4,0.5,74,9,5,973,29,79,4,39,1,33,-2,29,47,75,-2,"29
"
2020-03-01,24,6,43,24,39,262,W,362,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0013_sleet_showers.png,Light sleet showers,3.5,0.1,66,10,5,982,29,74,5,41,-1,31,-0,31,34,55,-0,"31
"
2020-03-02,24,7,44,20,32,273,W,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,3.5,0.1,66,10,5,989,30,75,5,41,-1,30,-0,31,30,48,-0,"31
"
2020-03-03,24,8,46,13,21,279,W,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.8,0.0,69,10,6,1002,30,71,5,42,0,32,2,35,20,33,2,"35
"
2020-03-04,24,8,46,5,7,73,ENE,119,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,0.4,0.0,77,10,6,1005,30,59,5,41,1,34,3,38,7,12,3,"38
"
2020-03-05,24,7,45,7,11,220,SW,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,5.9,0.2,81,10,5,1001,30,73,5,40,2,35,2,36,10,17,2,"36
"
2020-03-06,24,8,47,14,23,289,WNW,263,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy light drizzle,6.6,0.3,75,8,5,1006,30,83,6,43,2,35,2,36,22,36,2,"36
"
2020-03-07,24,10,50,25,40,209,SSW,302,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Moderate rain,12.0,0.5,90,8,4,1002,30,100,9,48,8,46,5,41,39,63,5,"41
"
2020-03-08,24,8,47,24,38,257,WSW,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,8.7,0.3,76,9,5,998,30,83,7,45,3,38,3,37,36,58,3,"37
"
2020-03-09,24,10,51,23,37,218,SW,308,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Heavy rain,22.3,0.9,87,8,5,1005,30,90,8,46,6,43,4,39,37,59,4,"39
"
2020-03-10,24,10,50,22,36,257,WSW,266,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,7.5,0.3,84,8,5,1000,30,75,9,48,6,44,5,41,35,56,5,"41
"
2020-03-11,24,8,46,24,38,246,WSW,320,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0019_cloudy_with_light_snow.png,Moderate or heavy sleet,9.0,0.4,78,9,5,1000,30,86,7,44,3,37,2,35,36,58,2,"35
"
2020-03-12,24,8,46,29,46,271,W,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,3.5,0.1,71,8,4,1004,30,72,6,43,1,34,0,33,42,68,0,"33
"
2020-03-13,24,8,46,14,22,150,SSE,296,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light rain,5.0,0.2,83,9,5,1012,30,85,6,43,4,39,2,36,21,34,2,"36
"
2020-03-14,24,10,49,18,29,211,SSW,302,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Moderate rain,10.8,0.4,88,8,4,1003,30,92,8,46,6,42,4,39,28,45,4,"39
"
2020-03-15,24,9,48,14,23,319,NW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,2.3,0.1,74,10,6,1006,30,47,7,44,2,36,3,38,22,35,3,"38
"
2020-03-16,24,9,48,18,30,206,SSW,296,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light rain,5.0,0.2,81,9,5,1016,30,68,6,43,4,39,3,37,29,47,3,"37
"
2020-03-17,24,10,50,13,21,236,SW,302,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Moderate rain,15.0,0.6,89,9,5,1017,31,92,8,47,7,44,5,41,21,34,5,"41
"
2020-03-18,24,7,45,9,15,284,WNW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.1,0.0,71,10,6,1024,31,92,6,42,1,33,3,37,14,22,3,"37
"
2020-03-19,24,9,48,9,15,93,E,299,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0010_heavy_rain_showers.png,Moderate rain at times,1.3,0.1,71,10,6,1030,31,59,5,41,0,32,2,36,14,23,2,"36
"
2020-03-20,24,9,48,11,18,66,ENE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,74,10,6,1032,31,15,4,40,-0,32,0,33,18,30,0,"33
"
2020-03-21,24,6,42,13,21,111,ESE,302,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Moderate rain,9.9,0.4,82,8,5,1024,31,89,5,41,2,36,1,33,20,32,1,"33
"
2020-03-22,24,9,48,10,15,153,SSE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,2.9,0.1,81,8,5,1025,31,72,6,43,3,38,3,38,15,24,3,"38
"
2020-03-23,24,11,51,13,20,182,S,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,0.0,80,10,6,1020,31,61,7,45,4,39,4,39,19,31,4,"39
"
2020-03-24,24,13,55,15,24,182,S,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.8,0.0,83,9,5,1015,30,83,9,48,6,43,6,43,24,38,6,"43
"
2020-03-25,24,10,51,9,15,239,WSW,296,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light rain,3.3,0.1,90,6,3,1019,31,92,9,48,7,45,7,44,15,24,7,"44
"
2020-03-26,24,11,52,9,14,27,NNE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.1,0.0,91,9,5,1025,31,91,8,47,7,44,6,43,13,21,6,"43
"
2020-03-27,24,12,54,10,17,42,NE,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.3,0.0,84,10,6,1028,31,39,8,46,5,41,5,41,16,27,5,"41
"
2020-03-28,24,11,51,13,21,52,NE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.1,0.0,78,10,6,1036,31,57,8,46,4,39,4,40,19,31,4,"40
"
2020-03-29,24,8,46,14,22,43,NE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.1,0.0,68,10,6,1047,31,11,5,40,-1,31,0,33,20,32,0,"33
"
2020-03-30,24,10,49,13,22,13,NNE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,0.0,76,10,6,1043,31,69,6,43,2,36,2,36,20,32,2,"36
"
2020-03-31,24,9,47,11,18,28,NNE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.0,0.0,71,10,6,1037,31,78,7,44,2,36,4,39,16,26,4,"39
"
2020-04-01,24,9,47,7,12,324,NW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.1,0.0,75,10,6,1029,31,71,7,44,3,37,4,40,12,19,4,"40
"
2020-04-02,24,9,48,12,19,295,WNW,296,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light rain,2.0,0.1,85,9,5,1020,31,87,7,45,6,42,4,40,18,29,4,"40
"
2020-04-03,24,10,49,10,16,248,WSW,263,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy light drizzle,2.2,0.1,86,9,5,1016,30,59,8,46,5,41,5,41,15,25,5,"41
"
2020-04-04,24,10,51,15,25,164,SSE,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.1,0.0,79,10,6,1011,30,62,8,47,5,41,5,41,24,39,5,"41
"
2020-04-05,24,13,55,23,37,172,S,302,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Moderate rain,9.5,0.4,84,7,4,996,30,84,10,50,7,45,6,43,38,61,6,"43
"
2020-04-06,24,10,49,17,27,240,WSW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.9,0.0,75,10,6,1011,30,61,8,47,4,39,4,40,26,41,4,"40
"
2020-04-07,24,13,55,11,17,189,S,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,77,10,6,1024,31,37,8,47,5,40,6,42,18,28,6,"42
"
2020-04-08,24,13,55,7,12,234,SW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,80,10,6,1024,31,31,9,49,6,43,8,46,13,20,8,"46
"
2020-04-09,24,16,61,6,9,151,SSE,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.2,0.0,84,10,6,1023,31,48,11,52,9,48,11,51,10,17,11,"51
"
2020-04-10,24,15,58,5,8,218,SW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.1,0.0,85,10,6,1021,31,75,11,52,9,48,10,51,10,15,10,"51
"
