,date,time,tempC
472,2020-01-20,1600,8
473,2020-01-20,1700,6
474,2020-01-20,1800,4
475,2020-01-20,1900,4
476,2020-01-20,2000,4
477,2020-01-20,2100,4
478,2020-01-20,2200,4
479,2020-01-20,2300,4
480,2020-01-21,0,4
481,2020-01-21,100,5
482,2020-01-21,200,5
483,2020-01-21,300,5
484,2020-01-21,400,5
485,2020-01-21,500,5
486,2020-01-21,600,5
487,2020-01-21,700,5
488,2020-01-21,800,5
489,2020-01-21,900,6
490,2020-01-21,1000,6
491,2020-01-21,1100,7
492,2020-01-21,1200,8
493,2020-01-21,1300,8
494,2020-01-21,1400,8
495,2020-01-21,1500,8
496,2020-01-21,1600,8
497,2020-01-21,1700,7
498,2020-01-21,1800,7
499,2020-01-21,1900,5
500,2020-01-21,2000,4
501,2020-01-21,2100,3
502,2020-01-21,2200,4
503,2020-01-21,2300,6
504,2020-01-22,0,7
505,2020-01-22,100,7
506,2020-01-22,200,7
507,2020-01-22,300,7
508,2020-01-22,400,7
509,2020-01-22,500,7
510,2020-01-22,600,7
511,2020-01-22,700,7
512,2020-01-22,800,7
513,2020-01-22,900,7
514,2020-01-22,1000,7
515,2020-01-22,1100,8
516,2020-01-22,1200,9
517,2020-01-22,1300,9
518,2020-01-22,1400,9
519,2020-01-22,1500,9
520,2020-01-22,1600,9
521,2020-01-22,1700,8
522,2020-01-22,1800,8
523,2020-01-22,1900,8
524,2020-01-22,2000,7
525,2020-01-22,2100,7
526,2020-01-22,2200,7
527,2020-01-22,2300,7
528,2020-01-23,0,7
529,2020-01-23,100,7
530,2020-01-23,200,7
531,2020-01-23,300,7
532,2020-01-23,400,7
533,2020-01-23,500,7
534,2020-01-23,600,7
535,2020-01-23,700,7
536,2020-01-23,800,8
537,2020-01-23,900,8
538,2020-01-23,1000,8
539,2020-01-23,1100,9
540,2020-01-23,1200,9
541,2020-01-23,1300,9
542,2020-01-23,1400,9
543,2020-01-23,1500,9
544,2020-01-23,1600,9
545,2020-01-23,1700,8
546,2020-01-23,1800,7
547,2020-01-23,1900,7
548,2020-01-23,2000,7
549,2020-01-23,2100,7
550,2020-01-23,2200,7
551,2020-01-23,2300,7
552,2020-01-24,0,7
553,2020-01-24,100,7
554,2020-01-24,200,6
555,2020-01-24,300,6
556,2020-01-24,400,6
557,2020-01-24,500,6
558,2020-01-24,600,6
559,2020-01-24,700,6
560,2020-01-24,800,6
561,2020-01-24,900,6
562,2020-01-24,1000,7
563,2020-01-24,1100,8
564,2020-01-24,1200,9
565,2020-01-24,1300,9
566,2020-01-24,1400,9
567,2020-01-24,1500,9
568,2020-01-24,1600,9
569,2020-01-24,1700,8
570,2020-01-24,1800,8
571,2020-01-24,1900,8
572,2020-01-24,2000,7
573,2020-01-24,2100,7
574,2020-01-24,2200,7
575,2020-01-24,2300,7
576,2020-01-25,0,7
577,2020-01-25,100,7
578,2020-01-25,200,6
579,2020-01-25,300,6
580,2020-01-25,400,6
581,2020-01-25,500,6
582,2020-01-25,600,6
583,2020-01-25,700,7
584,2020-01-25,800,7
585,2020-01-25,900,7
586,2020-01-25,1000,7
587,2020-01-25,1100,8
588,2020-01-25,1200,9
589,2020-01-25,1300,9
590,2020-01-25,1400,9
591,2020-01-25,1500,9
592,2020-01-25,1600,8
593,2020-01-25,1700,7
594,2020-01-25,1800,6
595,2020-01-25,1900,5
596,2020-01-25,2000,4
597,2020-01-25,2100,3
598,2020-01-25,2200,4
599,2020-01-25,2300,6
600,2020-01-26,0,7
601,2020-01-26,100,8
602,2020-01-26,200,8
603,2020-01-26,300,8
604,2020-01-26,400,9
605,2020-01-26,500,9
606,2020-01-26,600,9
607,2020-01-26,700,8
608,2020-01-26,800,8
609,2020-01-26,900,7
610,2020-01-26,1000,7
611,2020-01-26,1100,7
612,2020-01-26,1200,6
613,2020-01-26,1300,6
614,2020-01-26,1400,6
615,2020-01-26,1500,6
616,2020-01-26,1600,5
617,2020-01-26,1700,4
618,2020-01-26,1800,4
619,2020-01-26,1900,3
620,2020-01-26,2000,2
621,2020-01-26,2100,1
622,2020-01-26,2200,2
623,2020-01-26,2300,4
624,2020-01-27,0,6
625,2020-01-27,100,6
