,CountyName,Date,ConfirmedCovidCases
360,Waterford,13/03/20,0
361,Westmeath,13/03/20,0
362,Wexford,13/03/20,0
363,Wicklow,13/03/20,0
364,Carlow,14/03/20,0
365,Cavan,14/03/20,0
366,Clare,14/03/20,0
367,Cork,14/03/20,0
368,Donegal,14/03/20,0
369,Dublin,14/03/20,0
370,Galway,14/03/20,0
371,Kerry,14/03/20,0
372,Kildare,14/03/20,0
373,Kilkenny,14/03/20,0
374,Laois,14/03/20,0
375,Leitrim,14/03/20,0
376,Limerick,14/03/20,0
377,Longford,14/03/20,0
378,Louth,14/03/20,0
379,Mayo,14/03/20,0
380,Meath,14/03/20,0
381,Monaghan,14/03/20,0
382,Offaly,14/03/20,0
383,Roscommon,14/03/20,0
384,Sligo,14/03/20,0
385,Tipperary,14/03/20,0
386,Waterford,14/03/20,0
387,Westmeath,14/03/20,0
388,Wexford,14/03/20,0
389,Wicklow,14/03/20,0
390,Carlow,15/03/20,0
391,Cavan,15/03/20,0
392,Clare,15/03/20,0
393,Cork,15/03/20,0
394,Donegal,15/03/20,0
395,Dublin,15/03/20,0
396,Galway,15/03/20,0
397,Kerry,15/03/20,0
398,Kildare,15/03/20,0
399,Kilkenny,15/03/20,0
400,Laois,15/03/20,0
401,Leitrim,15/03/20,0
402,Limerick,15/03/20,0
403,Longford,15/03/20,0
404,Louth,15/03/20,0
405,Mayo,15/03/20,0
406,Meath,15/03/20,0
407,Monaghan,15/03/20,0
408,Offaly,15/03/20,0
409,Roscommon,15/03/20,0
410,Sligo,15/03/20,0
411,Tipperary,15/03/20,0
412,Waterford,15/03/20,0
413,Westmeath,15/03/20,0
414,Wexford,15/03/20,0
415,Wicklow,15/03/20,0
416,Carlow,16/03/20,0
417,Cavan,16/03/20,0
418,Clare,16/03/20,0
419,Cork,16/03/20,0
420,Donegal,16/03/20,0
421,Dublin,16/03/20,0
422,Galway,16/03/20,0
423,Kerry,16/03/20,0
424,Kildare,16/03/20,0
425,Kilkenny,16/03/20,0
426,Laois,16/03/20,0
427,Leitrim,16/03/20,0
428,Limerick,16/03/20,0
429,Longford,16/03/20,0
430,Louth,16/03/20,0
431,Mayo,16/03/20,0
432,Meath,16/03/20,0
433,Monaghan,16/03/20,0
434,Offaly,16/03/20,0
435,Roscommon,16/03/20,0
436,Sligo,16/03/20,0
437,Tipperary,16/03/20,0
438,Waterford,16/03/20,0
439,Westmeath,16/03/20,0
440,Wexford,16/03/20,0
441,Wicklow,16/03/20,0
442,Carlow,17/03/20,0
443,Cavan,17/03/20,0
444,Clare,17/03/20,0
445,Cork,17/03/20,0
446,Donegal,17/03/20,0
447,Dublin,17/03/20,0
448,Galway,17/03/20,0
449,Kerry,17/03/20,0
450,Kildare,17/03/20,0
451,Kilkenny,17/03/20,0
452,Laois,17/03/20,0
453,Leitrim,17/03/20,0
454,Limerick,17/03/20,0
455,Longford,17/03/20,0
456,Louth,17/03/20,0
457,Mayo,17/03/20,0
458,Meath,17/03/20,0
459,Monaghan,17/03/20,0
460,Offaly,17/03/20,0
461,Roscommon,17/03/20,0
462,Sligo,17/03/20,0
463,Tipperary,17/03/20,0
464,Waterford,17/03/20,0
465,Westmeath,17/03/20,0
466,Wexford,17/03/20,0
467,Wicklow,17/03/20,0
468,Carlow,18/03/20,0
469,Cavan,18/03/20,0
470,Clare,18/03/20,0
471,Cork,18/03/20,0
472,Donegal,18/03/20,0
473,Dublin,18/03/20,0
474,Galway,18/03/20,0
475,Kerry,18/03/20,0
476,Kildare,18/03/20,0
477,Kilkenny,18/03/20,0
478,Laois,18/03/20,0
479,Leitrim,18/03/20,0
480,Limerick,18/03/20,0
481,Longford,18/03/20,0
482,Louth,18/03/20,0
483,Mayo,18/03/20,0
484,Meath,18/03/20,0
485,Monaghan,18/03/20,0
486,Offaly,18/03/20,0
487,Roscommon,18/03/20,0
488,Sligo,18/03/20,0
489,Tipperary,18/03/20,0
490,Waterford,18/03/20,0
491,Westmeath,18/03/20,0
492,Wexford,18/03/20,0
493,Wicklow,18/03/20,0
494,Carlow,19/03/20,0
495,Cavan,19/03/20,0
496,Clare,19/03/20,0
497,Cork,19/03/20,0
498,Donegal,19/03/20,0
499,Dublin,19/03/20,0
500,Galway,19/03/20,0
501,Kerry,19/03/20,0
502,Kildare,19/03/20,0
503,Kilkenny,19/03/20,0
504,Laois,19/03/20,0
505,Leitrim,19/03/20,0
506,Limerick,19/03/20,0
507,Longford,19/03/20,0
508,Louth,19/03/20,0
509,Mayo,19/03/20,0
510,Meath,19/03/20,0
511,Monaghan,19/03/20,0
512,Offaly,19/03/20,0
513,Roscommon,19/03/20,0
514,Sligo,19/03/20,0
515,Tipperary,19/03/20,0
516,Waterford,19/03/20,0
517,Westmeath,19/03/20,0
518,Wexford,19/03/20,0
519,Wicklow,19/03/20,0
520,Carlow,20/03/20,0
521,Cavan,20/03/20,0
522,Clare,20/03/20,0
523,Cork,20/03/20,0
524,Donegal,20/03/20,0
525,Dublin,20/03/20,0
526,Galway,20/03/20,0
527,Kerry,20/03/20,0
528,Kildare,20/03/20,0
529,Kilkenny,20/03/20,0
530,Laois,20/03/20,0
531,Leitrim,20/03/20,0
532,Limerick,20/03/20,0
533,Longford,20/03/20,0
534,Louth,20/03/20,0
535,Mayo,20/03/20,0
536,Meath,20/03/20,0
